home_id;home_score;home_elo;away_id;away_score;away_elo;elo_dif;goal_dif
110;4;1605.10974121;3429;0;1588.92016602;16.18957519000014;4
1211;3;1633.50061035;134;3;1800.74255371;-167.24194336000005;0
219;2;1677.22741699;45;1;1656.30517578;20.92224121000004;1
42;1;1632.01708984;38;3;1644.99914551;-12.982055670000136;-2
1730;0;1627.60583496;33;0;1810.71899414;-183.1131591799999;0
44;4;1813.81225586;41;1;1583.88769531;229.92456055000002;3
36;1;1784.0098877;39;1;1713.75854492;70.25134277999996;0
39;3;1716.98059082;110;1;1618.18383789;98.79675293000014;2
134;3;1797.37121582;37;1;2012.11035156;-214.73913573999994;2
282;0;1665.51245117;1730;1;1631.36364746;34.14880371000004;-1
38;1;1657.34606934;219;3;1683.47619629;-26.130126949999976;-2
47;2;1658.24743652;36;1;1780.7878418;-122.54040527999996;1
3429;1;1575.84606934;1211;1;1636.87194824;-61.02587889999995;0
33;1;1806.96118164;44;2;1817.76501465;-10.803833010000062;-1
45;0;1650.05639648;1147;1;1538.07641602;111.9799804600002;-1
41;1;1579.93493652;42;1;1619.67028809;-39.73535156999992;0
219;0;1697.89624023;41;0;1582.19067383;115.70556640000018;0
37;2;1999.19958496;3429;0;1578.5078125;420.69177246000004;2
1147;0;1552.16210938;47;4;1670.71398926;-118.55187988000012;-4
1211;1;1638.61169434;110;0;1613.97399902;24.63769531999992;1
36;5;1778.46569824;134;0;1809.80200195;-31.33630371000004;5
42;1;1622.04772949;282;1;1657.51513672;-35.46740723000016;0
33;1;1807.16918945;38;1;1647.5592041;159.60998535;0
1730;2;1650.90002441;39;1;1733.64355469;-82.74353027999996;1
44;4;1812.67163086;45;1;1640.37219238;172.29943848000016;3
39;1;1724.54223633;1211;0;1644.73620605;79.80603027999996;1
45;2;1634.92980957;42;1;1621.80163574;13.12817383000015;1
282;2;1657.76123047;44;1;1818.1138916;-160.3526611299999;1
38;0;1652.82995605;1730;1;1660.0012207;-7.171264650000012;-1
110;0;1607.8494873;37;1;2000.36889648;-392.51940918000014;-1
3429;0;1577.33837891;36;1;1795.50939941;-218.17102049999994;-1
41;3;1586.2833252;33;1;1801.89831543;-215.61499022999988;2
134;3;1792.75830078;1147;2;1539.60925293;253.14904785;1
47;2;1683.2668457;219;0;1693.34020996;-10.073364260000062;2
38;1;1643.83789062;37;2;2001.88659668;-358.04870605999986;-1
134;1;1794.85107422;44;3;1807.08447266;-12.233398439999974;-2
282;1;1668.79064941;41;3;1603.47033691;65.3203125;-2
110;1;1606.33190918;1147;2;1537.51635742;68.81555175999983;-1
47;0;1693.28808594;1730;0;1668.99328613;24.294799810000086;0
1211;1;1639.88464355;36;1;1799.5279541;-159.64331055000002;0
3429;1;1573.31994629;219;0;1683.31896973;-109.99902343999997;1
45;3;1641.28723145;33;2;1784.71130371;-143.42407226;1
39;1;1729.39379883;42;3;1615.44421387;113.94958495999981;-2
219;1;1673.4140625;134;0;1782.63256836;-109.21850586000005;1
1730;0;1671.01953125;45;0;1651.63720703;19.3823242200001;0
44;2;1819.30297852;3429;0;1583.22485352;236.078125;2
1147;0;1548.73132324;39;2;1712.74255371;-164.0112304700001;-2
36;3;1796.39709473;110;0;1595.11682129;201.28027343999997;3
41;2;1619.26599121;38;1;1641.91894531;-22.652954099999988;1
42;3;1632.09545898;47;3;1691.26196289;-59.16650390999985;0
37;2;2003.80554199;1211;0;1643.01550293;360.79003906;2
33;1;1774.36132812;282;1;1652.99511719;121.36621093000008;0
134;5;1772.90783691;42;1;1632.49633789;140.41149902000006;4
45;2;1653.47570801;41;4;1626.60180664;26.873901370000112;-2
110;0;1590.38659668;219;1;1683.13879395;-92.75219727000012;-1
47;0;1690.86108398;44;0;1822.59899902;-131.73791503999996;0
3429;2;1579.92883301;1730;1;1669.1809082;-89.25207518999991;1
